cnnaffinity,Smiles
0.0,[H]C([H])=C([H])c1c([H])c([H])nc([C@@]([H])(c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])[H])[C@]([H])(c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])C([H])([H])n2nc([H])nc2[H])c1[H]
0.0,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c(C([H])([H])n2nc([H])nc2[H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1-c1nn([H])c([H])c1[H]
0.0,[H]OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])N([H])C(=O)C([H])=C([H])[H])[C@@]([H])(c2c(-c3nc(C([H])([H])[H])sc3[H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C1([H])[H]
0.0,[H]c1nc([H])c(C([H])([H])n2c(-c3c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c3-c3c(N([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])c4c([H])c([H])c(Cl)c([H])c4[H])c([H])c([H])n([H])c3=O)nc([H])c2[H])c([H])c1F
0.0,[H]Sc1c(N2C(=O)C([H])=C(S(=O)(=O)N(C([H])([H])[H])C([H])([H])c3c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])C2=O)c([H])n(-c2c(F)nc([H])c(OC([H])([H])[H])c2[H])c(=O)c1C([H])([H])C([H])([H])C([H])([H])[H]
0.0,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H]
0.0,[H]C([H])=C([H])C(=O)N([H])[C@]([H])(c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1[H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1-c1nn([H])c([H])c1[H]
0.0,[H]SC([H])([H])[C@@]([H])(c1c([C@@]2([H])C([H])([H])[C@@]2([H])N([H])[H])c([H])c(-c2c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c2[H])c2c([H])c([H])c([H])nc12)C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])c1nc(N([H])[H])nc([H])c1[H]
0.0,[H]C([H])=C([H])C([H])([H])[C@@]([H])(C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(N([H])c2nc([H])c([H])c([H])c2[H])c1=O)C([H])([H])c1c([H])sc2c([H])c([H])c([H])c([H])c12)[C@]([H])(c1nc([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
0.0,[H]c1oc([H])c(C([H])([H])C([H])([H])[C@@]([H])(c2c(-c3c([H])c([H])c([H])c([H])c3Cl)c(N3C(=O)C([H])([H])C([H])([H])C3([H])[H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])c1[H]
0.0,[H]c1nc([H])c([H])c(N([H])n2c([H])c([H])c([H])c([C@@]([H])(C([H])([H])c3c([H])c([H])c([H])c(C(=O)N([H])[H])c3[H])C([H])([H])[C@]([H])(c3c([H])oc([H])c3[H])c3c([H])c([H])c([H])c(Cl)c3Cl)c2=O)c1[H]
0.0,[H]c1nc([H])c([C@]([H])(c2nc([H])c([H])c([H])c2[H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])OC([H])([H])C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])o1
0.0,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c(C(=O)c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H]
0.0,[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])[C@@]([H])(c2c(S[H])c(N3C(=O)C([H])=C([H])C3=O)c([H])n(-c3c(F)nc([H])c(OC([H])([H])[H])c3[H])c2=O)[C@]([H])(C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H]
0.0,[H]C(=C1SC(=S)N([H])C1=O)[C@@]([H])(c1c([H])c(Cl)c([H])c(Cl)c1[H])[C@]([H])(c1c([H])c([H])c([H])n([H])c1=O)[C@]([H])(C([H])([H])c1c([H])c([H])c([H])c([H])c1Cl)C([H])([H])n1nc([H])c([H])c1[H]
0.0,[H]C([H])=C([H])C(=O)N([H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H]
0.0,[H]OC1([H])C([H])([H])C([H])([H])N(c2c([H])c(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n(N4C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])C4([H])[H])c3=O)C([H])([H])C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3nc([H])c([H])c([H])c3c2[H])C([H])([H])C1([H])[H]
0.0,[H]C#CC([H])([H])OC1=C([H])C(=O)N(n2c([H])c(-c3c([H])c([H])c([H])c(C(=O)N([H])[H])c3[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([C@@]4([H])C([H])([H])[C@@]4([H])N([H])[H])c([H])c([H])c4c([H])c([H])c([H])nc34)c2=O)C1=O
0.0,[H]OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])N([H])C(=O)C([H])=C([H])c2c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C1([H])[H]
0.0,[H]c1nn([C@@]2([H])C([H])([H])[C@@]([H])([C@@]([H])(C3([H])C([H])([H])C3([H])[H])C([H])([H])[C@@]([H])(c3c(OC([H])([H])C([H])([H])C([H])([H])N4C([H])([H])C([H])([H])C([H])(F)C([H])([H])C4([H])[H])c([H])c([H])n([H])c3=O)C([H])([H])[H])C([H])([H])[C@@]2([H])c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c([H])c1[H]
0.0,[H]C([H])=C([H])C(=O)N([H])[C@@]([H])(N1C([H])([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C1([H])[H])[C@@]([H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H]
0.0,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c(C(=NN([H])C(=S)N([H])[H])C([H])([H])[H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1-c1nn([H])c([H])c1[H]
0.0,[H]c1c([H])c(C(=O)N([H])[H])c([H])c(C([H])([H])[C@@](c2c([H])c(-c3c([H])c([H])c(F)c(F)c3[H])c([H])n([H])c2=O)(C2([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c2[H])C([H])([H])[H])c1[H]
0.0,[H]c1c([H])c(N(C(=O)[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[C@]([H])(C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2=O)C([H])([H])[H])N([H])[H])c([H])c([H])c1C(=O)C([H])([H])[H]
0.0,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H]
0.0,[H]c1nc(N([H])[H])nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])c2c([C@@]3([H])C([H])([H])[C@@]3([H])N([H])[H])c(C(=O)C([H])([H])C([H])([H])c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c([H])c3c([H])c([H])c([H])nc23)c1[H]
0.0,[H]c1nc([H])c(C([H])([H])N([H])N([H])S(=O)(=O)c2c([H])c([H])c(-c3c([H])c([H])c([H])n([H])c3=O)c(-c3sc4c([H])c([H])c([H])c([H])c4c3[H])c2C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H]
0.0,[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@@]([H])(C(=O)c2oc([H])c([H])c2[H])C([H])([H])[H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H]
0.0,[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C([H])([H])[C@]([H])(c2c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H]
0.0,[H]c1c([H])c(C(=O)N([H])[H])c([H])c(C([H])([H])[C@]([H])(c2c(-c3c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c(-c3c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c3[H])c([H])n([H])c2=O)C([H])([H])C([H])([H])[H])c1[H]
0.0,[H]c1nc([H])c([H])c(C([H])([H])[C@]([H])(C#Cc2c([H])c([H])c([H])c([H])c2[H])OC([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])N(O[C@]([H])(n2c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)n2c([H])c([H])c([H])c([H])c2=O)n1
0.0,[H]c1nc2c(C([H])([H])n3c(-c4c([H])c([H])n(N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C(F)(F)F)c(=O)c4-c4c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c4[H])nc([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H]
0.0,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c(=O)n(-c2nc([H])c(F)c([H])c2[H])c1[H])C([H])([H])N1C(=O)c2c([H])c([H])c([H])c([H])c2C1=O
0.0,[H]c1nc2c([C@@]([H])(c3c([H])c([H])c([H])c([H])c3Cl)C([H])([H])[C@@]([H])(c3c([H])c(N4C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C4([H])[H])c([H])n(-c4c([H])nc([H])c(F)c4[H])c3=O)C([H])([H])[H])c([H])c([H])c([H])c2c([H])c1[H]
0.0,[H]c1nc(N([H])n2c([H])c(N(c3c([H])c([H])c([H])c(C#N)c3[H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([H])nc([H])c(F)c3[H])c2=O)sc1[H]
