cnnaffinity,Smiles
-6.2476,[H]c1c([H])c(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])N([H])C([H])([H])c2c(C([H])(F)F)c(SC([H])([H])[H])c(=O)n([H])c2OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
-5.69432,[H]O[P@](=O)(OC(=O)OC([H])([H])C([H])([H])[H])C([H])([H])c1c([H])c([H])c(C([H])([H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c2nc(C([H])([H])N3C([H])([H])C([H])([H])N([H])C([H])([H])C3([H])[H])c([H])c([H])c12
-6.54385,[H]c1nc(N([H])n2c([H])c(N([H])[C@]3([H])C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)C([H])([H])C([H])([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(N([H])[H])C([H])([H])[H])c2=O)sc1SC([H])([H])[H]
-6.39551,[H]C1=C([H])C(=O)N(c2c(SC([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(-c3nc4c([H])c([H])c([H])c([H])c4c([H])c3[H])c(=O)n([H])c2[H])C1=O
-6.32128,[H]c1nc(N([H])n2c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])[C@]([H])(c3c([H])c([H])c(Cl)c([H])c3[H])c3c(F)c([H])c([H])c([H])c3F)c2=O)c([H])c([H])c1[H]
-5.96519,[H]ON([H])C(=O)C([H])=C(c1c([H])c([H])c(=O)n([H])c1[H])N1C([H])([H])C([H])([H])N(C([H])([H])C#Cc2nc([H])c([H])c(C(F)(F)F)c2C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])C1([H])[H]
-6.59331,[H]c1nn(C([H])([H])[H])c([H])c1[C@@]([H])(c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])[C@@]([H])(C([H])([H])[H])[C@@]([H])(OS(=O)(=O)N([H])[H])C(F)(F)F)n1c([H])nc(C([H])([H])C(=O)N([H])[H])c1[H]
-6.5558,[H]c1nc([H])c(O[C@@]([H])(O[C@]([H])(c2c([H])c(F)c([H])c(C([H])([H])N([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2[H])C([H])([H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])[H])c2c([H])nc([H])c([H])c2[H])c([H])c1[H]
-6.08461,[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C#Cc1nc([H])c([H])c([H])c1[H])N1C([H])([H])C([H])([H])N(C(=C([H])C(=O)N([H])O[H])c2c([H])c(-c3c([H])nc([H])c(F)c3[H])c(=O)n([H])c2[H])C([H])([H])C1([H])[H]
-5.24777,[H]c1c([H])c([H])n([H])c(=O)c1[C@](C([H])([H])[H])(C([H])(F)F)[C@@]([H])(OC([H])([H])[C@]([H])(N(C([H])([H])[H])C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])[H]
