Smiles,h,RGroupIndex,LinkerIndex
[H]c1nc([H])c(C([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,0
[H]c1nc([H])c(C(=O)N([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,1
[H]c1nc([H])c(N([H])C(=O)C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,2
[H]c1nc([H])c(N([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,3
[H]c1nc([H])c(C(=O)C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,4
[H]c1nc([H])c(OC(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,5
[H]c1nc([H])c(OC([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,6
[H]c1nc([H])c(C([H])([H])OC(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,7
[H]c1nc([H])c(S(=O)(=O)C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,8
[H]c1nc([H])c(S(=O)(=O)N([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,9
[H]c1nc([H])c(N([H])S(=O)(=O)C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,10
[H]c1nc([H])c(N([H])C([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,11
[H]c1nc([H])c(C([H])([H])N([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,12
[H]c1nc([H])c(C(=O)N([H])C([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,13
[H]c1nc([H])c(C([H])([H])N([H])C(=O)C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,14
[H]c1nc([H])c(C([H])([H])C([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,15
[H]c1nc([H])c(N([H])C(=O)C([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,16
[H]c1nc([H])c(C([H])([H])C(=O)N([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,17
[H]c1nc([H])c(N([H])C(=O)N([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,18
[H]c1nc([H])c(C(=O)C([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,19
[H]c1nc([H])c(C([H])([H])C(=O)C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,20
[H]c1nc([H])c(-c2c([H])c([H])c(C(=O)N([H])c3c([H])c([H])nc([H])c3[H])c([H])c2[H])c([H])c1[H],6,0,21
[H]c1nc([H])c(SC([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,22
[H]c1nc([H])c(C([H])([H])SC(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,23
[H]c1nc([H])c(C#CC(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,24
[H]c1nc([H])c(SC(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,25
[H]C(C(=O)N([H])c1c([H])c([H])nc([H])c1[H])=C([H])c1c([H])nc([H])c([H])c1[H],6,0,26
[H]c1nc([H])c([C@@]([H])(N([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])C([H])([H])[H])c([H])c1[H],6,0,27
[H]c1nc([H])c(N([H])[C@]([H])(C(=O)N([H])c2c([H])c([H])nc([H])c2[H])C([H])([H])[H])c([H])c1[H],6,0,28
[H]c1nc([H])c(C(=O)OC(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,29
[H]c1nc([H])c(OC(=O)C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,30
[H]c1nc([H])c(C(=O)OC([H])([H])C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,31
[H]c1nc([H])c(C([H])([H])OC(=O)C(=O)N([H])c2c([H])c([H])nc([H])c2[H])c([H])c1[H],6,0,32
[H]c1nc([H])c(N2C([H])([H])C([H])([H])N(C(=O)N([H])c3c([H])c([H])nc([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H],6,0,33
